generation,best_fitness,mean_fitness,best_baseline_score,best_baseline_std,mean_baseline_score,mean_episode_length,best_node_count,best_connection_count,best_enabled_connection_count,species_count
0,1.5,1.1375000476837158,-4.800000190734863,0.4898979067802429,-4.862500190734863,593.0912475585938,15,36,36,1
1,1.5,1.1337499618530273,-4.860000133514404,0.4247351884841919,-4.866250038146973,600.2312622070312,15,36,36,1
2,1.5,1.1399999856948853,-4.789999961853027,0.43116119503974915,-4.860000133514404,589.9562377929688,15,36,36,1
3,1.625,1.1412500143051147,-4.789999961853027,0.5530822277069092,-4.858749866485596,586.8049926757812,15,36,36,1
4,1.5,1.159999966621399,-4.869999885559082,0.391279935836792,-4.840000152587891,592.311279296875,15,36,36,2
5,1.5,1.1349999904632568,-4.880000114440918,0.32496151328086853,-4.864999771118164,598.5662231445312,15,36,35,1
6,1.625,1.152500033378601,-4.849999904632568,0.38405728340148926,-4.847499847412109,603.4849853515625,15,36,36,2
7,1.5,1.149999976158142,-4.820000171661377,0.3841874599456787,-4.849999904632568,627.3125,15,36,36,2
8,1.75,1.1425000429153442,-4.809999942779541,0.4170132279396057,-4.857500076293945,622.8975219726562,15,36,35,3
9,1.75,1.1725000143051147,-4.809999942779541,0.4170131981372833,-4.827499866485596,599.9462280273438,15,36,35,3
10,1.625,1.1637500524520874,-4.900000095367432,0.30000004172325134,-4.836249828338623,606.5599975585938,15,36,36,55
11,1.625,1.1449999809265137,-4.829999923706055,0.37563279271125793,-4.855000019073486,595.8150024414062,15,36,35,14
12,1.5,1.1487499475479126,-4.809999942779541,0.41701316833496094,-4.851250171661377,601.5050048828125,15,36,35,8
13,1.5,1.1787500381469727,-4.829999923706055,0.425558477640152,-4.821249961853027,600.0175170898438,15,36,36,6
14,1.5,1.1575000286102295,-4.860000133514404,0.3746998608112335,-4.84250020980835,636.2424926757812,15,36,35,6
15,1.5,1.1325000524520874,-4.860000133514404,0.3746998608112335,-4.867499828338623,590.42626953125,16,38,37,17
16,1.625,1.1425000429153442,-4.78000020980835,0.5211525559425354,-4.857500076293945,596.5037231445312,16,38,37,8
17,1.625,1.1299999952316284,-4.900000095367432,0.3872983753681183,-4.869999885559082,589.1912231445312,16,38,37,8
18,1.5,1.149999976158142,-4.829999923706055,0.40137261152267456,-4.849999904632568,605.7062377929688,16,38,37,10
19,1.875,1.1425000429153442,-4.820000171661377,0.47707444429397583,-4.857500076293945,597.9724731445312,16,38,37,7
20,2.0,1.1737500429153442,-4.820000171661377,0.47707438468933105,-4.826250076293945,619.771240234375,15,36,35,7
21,1.5,1.1449999809265137,-4.840000152587891,0.39293763041496277,-4.855000019073486,605.7650146484375,16,38,37,13
22,1.625,1.131250023841858,-4.809999942779541,0.5233545899391174,-4.868750095367432,599.0987548828125,15,36,36,11
23,1.5,1.1637500524520874,-4.880000114440918,0.32496151328086853,-4.836249828338623,613.3499755859375,15,36,36,7
24,1.75,1.162500023841858,-4.840000152587891,0.4176122844219208,-4.837500095367432,597.032470703125,16,38,37,9
25,1.625,1.1399999856948853,-4.889999866485596,0.34336569905281067,-4.860000133514404,602.469970703125,16,38,37,7
26,1.5,1.1549999713897705,-4.809999942779541,0.39230093359947205,-4.84499979019165,625.7874755859375,15,36,36,7
27,1.75,1.1387499570846558,-4.809999942779541,0.4170131981372833,-4.861249923706055,608.5399780273438,16,38,36,17
28,1.625,1.1675000190734863,-4.820000171661377,0.47707444429397583,-4.832499980926514,618.5887451171875,16,38,37,13
29,1.625,1.1462500095367432,-4.78000020980835,0.5015974044799805,-4.853750228881836,590.5387573242188,16,38,36,9
30,1.375,1.159999966621399,-4.889999866485596,0.31288978457450867,-4.840000152587891,621.9812622070312,15,36,36,7
31,1.75,1.1675000190734863,-4.820000171661377,0.4331281781196594,-4.832499980926514,620.3925170898438,16,38,36,7
32,1.875,1.1412500143051147,-4.800000190734863,0.4898979067802429,-4.858749866485596,625.0062255859375,16,38,36,9
33,1.625,1.1649999618530273,-4.829999923706055,0.37563279271125793,-4.835000038146973,603.9525146484375,16,38,36,7
34,1.625,1.1349999904632568,-4.880000114440918,0.3544008731842041,-4.864999771118164,578.2025146484375,15,36,36,8
35,1.625,1.152500033378601,-4.809999942779541,0.41701316833496094,-4.847499847412109,621.9512329101562,15,36,35,8
36,1.625,1.1375000476837158,-4.860000133514404,0.3469870388507843,-4.862500190734863,577.2362670898438,15,36,35,8
37,1.5,1.1462500095367432,-4.900000095367432,0.30000004172325134,-4.853750228881836,612.0787353515625,16,38,36,9
38,1.625,1.1449999809265137,-4.840000152587891,0.4176122844219208,-4.855000019073486,599.9412231445312,16,38,36,7
39,1.625,1.153749942779541,-4.880000114440918,0.32496151328086853,-4.846250057220459,615.1512451171875,15,36,36,6
40,1.5,1.15625,-4.869999885559082,0.3363034129142761,-4.84375,615.77001953125,15,36,36,15
41,1.625,1.152500033378601,-4.820000171661377,0.43312814831733704,-4.847499847412109,599.7675170898438,16,38,36,14
42,1.625,1.149999976158142,-4.820000171661377,0.4331281781196594,-4.849999904632568,606.853759765625,15,36,35,9
43,1.5,1.159999966621399,-4.880000114440918,0.32496151328086853,-4.840000152587891,625.4087524414062,15,36,35,6
44,1.625,1.1637500524520874,-4.909999847412109,0.2861817479133606,-4.836249828338623,630.5,16,39,37,7
45,1.75,1.15625,-4.880000114440918,0.32496151328086853,-4.84375,602.2412719726562,16,38,36,8
46,1.625,1.1262500286102295,-4.860000133514404,0.3746998608112335,-4.87375020980835,590.0599975585938,15,36,35,8
47,1.5,1.128749966621399,-4.800000190734863,0.5291502475738525,-4.871250152587891,578.385009765625,16,39,37,7
48,1.5,1.1349999904632568,-4.849999904632568,0.3570714294910431,-4.864999771118164,595.04248046875,16,38,36,17
49,1.625,1.152500033378601,-4.78000020980835,0.4377213716506958,-4.847499847412109,607.501220703125,16,39,37,8
50,1.5,1.1325000524520874,-4.809999942779541,0.4403407871723175,-4.867499828338623,610.48876953125,16,38,36,8
51,2.0,1.1262500286102295,-4.909999847412109,0.3192177712917328,-4.87375020980835,593.22998046875,15,36,35,10
52,1.5,1.149999976158142,-4.829999923706055,0.37563279271125793,-4.849999904632568,597.7575073242188,16,39,38,6
53,1.75,1.1349999904632568,-4.860000133514404,0.3746998608112335,-4.864999771118164,593.7999877929688,16,39,38,10
54,1.625,1.118749976158142,-4.920000076293945,0.2712932229042053,-4.881249904632568,586.8987426757812,16,39,37,7
55,1.625,1.1575000286102295,-4.789999961853027,0.43116119503974915,-4.84250020980835,601.7737426757812,16,38,36,12
56,1.5,1.1462500095367432,-4.869999885559082,0.3363034129142761,-4.853750228881836,578.5062255859375,16,40,39,8
57,1.75,1.1687500476837158,-4.690000057220459,0.5778408050537109,-4.831250190734863,612.09375,16,40,38,8
58,1.5,1.1299999952316284,-4.880000114440918,0.3544008731842041,-4.869999885559082,570.5574951171875,15,36,36,8
59,1.625,1.131250023841858,-4.869999885559082,0.3363034129142761,-4.868750095367432,608.3250122070312,16,40,38,9
60,1.5,1.158750057220459,-4.880000114440918,0.3544008731842041,-4.841249942779541,609.530029296875,16,39,38,8
61,1.625,1.128749966621399,-4.78000020980835,0.4812483489513397,-4.871250152587891,599.7424926757812,16,39,37,8
62,1.5,1.1237499713897705,-4.920000076293945,0.2712932229042053,-4.87624979019165,573.5887451171875,16,39,38,7
63,1.625,1.121250033378601,-4.880000114440918,0.3544008731842041,-4.878749847412109,580.1412353515625,15,36,36,7
64,1.625,1.1362500190734863,-4.809999942779541,0.41701316833496094,-4.863749980926514,573.0562744140625,16,39,38,8
65,1.5,1.1512500047683716,-4.860000133514404,0.3469870090484619,-4.848750114440918,607.6174926757812,15,36,36,9
66,1.625,1.1100000143051147,-4.809999942779541,0.4170131981372833,-4.889999866485596,576.626220703125,16,40,39,8
67,1.5,1.125,-4.869999885559082,0.3648287057876587,-4.875,580.9749755859375,15,36,36,8
68,1.625,1.1399999856948853,-4.809999942779541,0.39230093359947205,-4.860000133514404,572.4037475585938,16,40,38,8
69,1.625,1.1262500286102295,-4.869999885559082,0.3648287355899811,-4.87375020980835,596.72998046875,16,40,39,8
70,1.625,1.1387499570846558,-4.849999904632568,0.4330126643180847,-4.861249923706055,586.8412475585938,16,40,39,8
71,1.5,1.1487499475479126,-4.880000114440918,0.3544008731842041,-4.851250171661377,603.2675170898438,16,40,39,8
72,1.5,1.128749966621399,-4.869999885559082,0.3648287057876587,-4.871250152587891,575.592529296875,16,39,37,8
73,1.5,1.131250023841858,-4.880000114440918,0.3544008731842041,-4.868750095367432,611.7237548828125,16,39,37,8
74,1.5,1.1137499809265137,-4.829999923706055,0.40137261152267456,-4.886250019073486,574.2125244140625,16,40,38,8
75,1.5,1.118749976158142,-4.809999942779541,0.46249324083328247,-4.881249904632568,606.157470703125,15,36,36,8
76,1.625,1.1337499618530273,-4.889999866485596,0.34336569905281067,-4.866250038146973,583.9612426757812,17,42,40,8
77,1.625,1.127500057220459,-4.900000095367432,0.30000004172325134,-4.872499942779541,597.4187622070312,15,36,36,8
78,1.625,1.1387499570846558,-4.909999847412109,0.2861817479133606,-4.861249923706055,575.0762329101562,17,42,40,8
79,1.625,1.162500023841858,-4.75,0.5361902713775635,-4.837500095367432,598.41748046875,15,36,36,7
80,1.5,1.1325000524520874,-4.800000190734863,0.42426401376724243,-4.867499828338623,582.3699951171875,16,40,39,8
81,1.5,1.1124999523162842,-4.920000076293945,0.3655133545398712,-4.887499809265137,592.6212768554688,15,36,36,9
82,1.625,1.149999976158142,-4.760000228881836,0.47159305214881897,-4.849999904632568,599.3087768554688,17,42,40,7
83,1.5,1.1262500286102295,-4.880000114440918,0.32496151328086853,-4.87375020980835,599.1312255859375,16,41,39,8
84,1.625,1.1637500524520874,-4.820000171661377,0.47707438468933105,-4.836249828338623,594.9662475585938,17,42,40,7
85,1.5,1.1337499618530273,-4.849999904632568,0.38405728340148926,-4.866250038146973,585.3099975585938,16,40,38,14
86,1.625,1.131250023841858,-4.889999866485596,0.34336569905281067,-4.868750095367432,600.3400268554688,16,41,39,8
