backend,matchup,seed,score,steps,right_life,left_life
gym,random_vs_baseline,42,-5.0,736,0,5
gym,random_vs_baseline,43,-5.0,521,0,5
gym,random_vs_baseline,44,-5.0,507,0,5
gym,random_vs_baseline,45,-5.0,468,0,5
gym,random_vs_baseline,46,-5.0,577,0,5
gym,random_vs_baseline,47,-5.0,547,0,5
gym,random_vs_baseline,48,-5.0,445,0,5
gym,random_vs_baseline,49,-5.0,448,0,5
gym,random_vs_baseline,50,-5.0,601,0,5
gym,random_vs_baseline,51,-5.0,523,0,5
gym,random_vs_baseline,52,-5.0,513,0,5
gym,random_vs_baseline,53,-5.0,657,0,5
gym,random_vs_baseline,54,-5.0,664,0,5
gym,random_vs_baseline,55,-4.0,700,0,4
gym,random_vs_baseline,56,-5.0,501,0,5
gym,random_vs_baseline,57,-5.0,609,0,5
gym,random_vs_baseline,58,-5.0,440,0,5
gym,random_vs_baseline,59,-4.0,1068,0,4
gym,random_vs_baseline,60,-5.0,526,0,5
gym,random_vs_baseline,61,-5.0,595,0,5
gym,random_vs_baseline,62,-5.0,426,0,5
gym,random_vs_baseline,63,-5.0,721,0,5
gym,random_vs_baseline,64,-4.0,610,0,4
gym,random_vs_baseline,65,-5.0,745,0,5
gym,random_vs_baseline,66,-5.0,582,0,5
gym,random_vs_baseline,67,-5.0,693,0,5
gym,random_vs_baseline,68,-5.0,836,0,5
gym,random_vs_baseline,69,-5.0,580,0,5
gym,random_vs_baseline,70,-5.0,634,0,5
gym,random_vs_baseline,71,-5.0,407,0,5
gym,random_vs_baseline,72,-5.0,519,0,5
gym,random_vs_baseline,73,-5.0,611,0,5
gym,random_vs_baseline,74,-4.0,534,0,4
gym,random_vs_baseline,75,-5.0,457,0,5
gym,random_vs_baseline,76,-5.0,550,0,5
gym,random_vs_baseline,77,-5.0,505,0,5
gym,random_vs_baseline,78,-5.0,584,0,5
gym,random_vs_baseline,79,-5.0,704,0,5
gym,random_vs_baseline,80,-5.0,508,0,5
gym,random_vs_baseline,81,-5.0,553,0,5
gym,random_vs_baseline,82,-5.0,669,0,5
gym,random_vs_baseline,83,-5.0,735,0,5
gym,random_vs_baseline,84,-5.0,593,0,5
gym,random_vs_baseline,85,-4.0,816,0,4
gym,random_vs_baseline,86,-5.0,517,0,5
gym,random_vs_baseline,87,-5.0,433,0,5
gym,random_vs_baseline,88,-5.0,529,0,5
gym,random_vs_baseline,89,-5.0,586,0,5
gym,random_vs_baseline,90,-5.0,539,0,5
gym,random_vs_baseline,91,-5.0,698,0,5
gym,random_vs_baseline,92,-5.0,542,0,5
gym,random_vs_baseline,93,-5.0,394,0,5
gym,random_vs_baseline,94,-5.0,705,0,5
gym,random_vs_baseline,95,-5.0,651,0,5
gym,random_vs_baseline,96,-5.0,509,0,5
gym,random_vs_baseline,97,-5.0,687,0,5
gym,random_vs_baseline,98,-5.0,659,0,5
gym,random_vs_baseline,99,-5.0,541,0,5
gym,random_vs_baseline,100,-5.0,403,0,5
gym,random_vs_baseline,101,-5.0,450,0,5
gym,random_vs_baseline,102,-5.0,546,0,5
gym,random_vs_baseline,103,-5.0,720,0,5
gym,random_vs_baseline,104,-5.0,690,0,5
gym,random_vs_baseline,105,-5.0,812,0,5
gym,random_vs_baseline,106,-4.0,582,0,4
gym,random_vs_baseline,107,-5.0,598,0,5
gym,random_vs_baseline,108,-5.0,552,0,5
gym,random_vs_baseline,109,-5.0,537,0,5
gym,random_vs_baseline,110,-3.0,795,0,3
gym,random_vs_baseline,111,-5.0,584,0,5
gym,random_vs_baseline,112,-5.0,853,0,5
gym,random_vs_baseline,113,-4.0,786,0,4
gym,random_vs_baseline,114,-5.0,685,0,5
gym,random_vs_baseline,115,-5.0,682,0,5
gym,random_vs_baseline,116,-5.0,566,0,5
gym,random_vs_baseline,117,-5.0,533,0,5
gym,random_vs_baseline,118,-4.0,618,0,4
gym,random_vs_baseline,119,-5.0,526,0,5
gym,random_vs_baseline,120,-4.0,677,0,4
gym,random_vs_baseline,121,-5.0,614,0,5
gym,random_vs_baseline,122,-4.0,580,0,4
gym,random_vs_baseline,123,-5.0,539,0,5
gym,random_vs_baseline,124,-5.0,520,0,5
gym,random_vs_baseline,125,-5.0,633,0,5
gym,random_vs_baseline,126,-5.0,514,0,5
gym,random_vs_baseline,127,-5.0,599,0,5
gym,random_vs_baseline,128,-5.0,673,0,5
gym,random_vs_baseline,129,-5.0,489,0,5
gym,random_vs_baseline,130,-4.0,564,0,4
gym,random_vs_baseline,131,-5.0,521,0,5
gym,random_vs_baseline,132,-5.0,568,0,5
gym,random_vs_baseline,133,-5.0,456,0,5
gym,random_vs_baseline,134,-5.0,598,0,5
gym,random_vs_baseline,135,-5.0,415,0,5
gym,random_vs_baseline,136,-5.0,537,0,5
gym,random_vs_baseline,137,-4.0,509,0,4
gym,random_vs_baseline,138,-5.0,610,0,5
gym,random_vs_baseline,139,-5.0,466,0,5
gym,random_vs_baseline,140,-5.0,671,0,5
gym,random_vs_baseline,141,-5.0,547,0,5
