backend,matchup,seed,score,steps,right_life,left_life
jax,random_vs_baseline,42,-5.0,492,0,5
jax,random_vs_baseline,43,-5.0,506,0,5
jax,random_vs_baseline,44,-5.0,476,0,5
jax,random_vs_baseline,45,-5.0,700,0,5
jax,random_vs_baseline,46,-5.0,631,0,5
jax,random_vs_baseline,47,-5.0,572,0,5
jax,random_vs_baseline,48,-5.0,397,0,5
jax,random_vs_baseline,49,-5.0,593,0,5
jax,random_vs_baseline,50,-5.0,402,0,5
jax,random_vs_baseline,51,-5.0,582,0,5
jax,random_vs_baseline,52,-5.0,563,0,5
jax,random_vs_baseline,53,-5.0,482,0,5
jax,random_vs_baseline,54,-5.0,879,0,5
jax,random_vs_baseline,55,-5.0,495,0,5
jax,random_vs_baseline,56,-5.0,623,0,5
jax,random_vs_baseline,57,-5.0,506,0,5
jax,random_vs_baseline,58,-5.0,517,0,5
jax,random_vs_baseline,59,-5.0,686,0,5
jax,random_vs_baseline,60,-5.0,721,0,5
jax,random_vs_baseline,61,-5.0,566,0,5
jax,random_vs_baseline,62,-5.0,467,0,5
jax,random_vs_baseline,63,-5.0,772,0,5
jax,random_vs_baseline,64,-4.0,801,0,4
jax,random_vs_baseline,65,-5.0,624,0,5
jax,random_vs_baseline,66,-5.0,767,0,5
jax,random_vs_baseline,67,-5.0,565,0,5
jax,random_vs_baseline,68,-5.0,616,0,5
jax,random_vs_baseline,69,-5.0,442,0,5
jax,random_vs_baseline,70,-5.0,632,0,5
jax,random_vs_baseline,71,-5.0,533,0,5
jax,random_vs_baseline,72,-4.0,762,0,4
jax,random_vs_baseline,73,-5.0,510,0,5
jax,random_vs_baseline,74,-5.0,588,0,5
jax,random_vs_baseline,75,-5.0,501,0,5
jax,random_vs_baseline,76,-5.0,802,0,5
jax,random_vs_baseline,77,-5.0,510,0,5
jax,random_vs_baseline,78,-5.0,572,0,5
jax,random_vs_baseline,79,-5.0,544,0,5
jax,random_vs_baseline,80,-5.0,844,0,5
jax,random_vs_baseline,81,-4.0,591,0,4
jax,random_vs_baseline,82,-5.0,487,0,5
jax,random_vs_baseline,83,-5.0,563,0,5
jax,random_vs_baseline,84,-4.0,676,0,4
jax,random_vs_baseline,85,-4.0,545,0,4
jax,random_vs_baseline,86,-5.0,597,0,5
jax,random_vs_baseline,87,-5.0,528,0,5
jax,random_vs_baseline,88,-5.0,556,0,5
jax,random_vs_baseline,89,-5.0,628,0,5
jax,random_vs_baseline,90,-4.0,694,0,4
jax,random_vs_baseline,91,-4.0,630,0,4
jax,random_vs_baseline,92,-5.0,518,0,5
jax,random_vs_baseline,93,-5.0,573,0,5
jax,random_vs_baseline,94,-5.0,508,0,5
jax,random_vs_baseline,95,-5.0,596,0,5
jax,random_vs_baseline,96,-4.0,485,0,4
jax,random_vs_baseline,97,-5.0,411,0,5
jax,random_vs_baseline,98,-4.0,799,0,4
jax,random_vs_baseline,99,-5.0,519,0,5
jax,random_vs_baseline,100,-5.0,778,0,5
jax,random_vs_baseline,101,-5.0,400,0,5
jax,random_vs_baseline,102,-4.0,580,0,4
jax,random_vs_baseline,103,-5.0,638,0,5
jax,random_vs_baseline,104,-5.0,656,0,5
jax,random_vs_baseline,105,-4.0,747,0,4
jax,random_vs_baseline,106,-5.0,755,0,5
jax,random_vs_baseline,107,-5.0,628,0,5
jax,random_vs_baseline,108,-5.0,580,0,5
jax,random_vs_baseline,109,-5.0,580,0,5
jax,random_vs_baseline,110,-5.0,507,0,5
jax,random_vs_baseline,111,-5.0,552,0,5
jax,random_vs_baseline,112,-5.0,895,0,5
jax,random_vs_baseline,113,-3.0,733,0,3
jax,random_vs_baseline,114,-5.0,385,0,5
jax,random_vs_baseline,115,-5.0,538,0,5
jax,random_vs_baseline,116,-5.0,560,0,5
jax,random_vs_baseline,117,-4.0,670,0,4
jax,random_vs_baseline,118,-5.0,576,0,5
jax,random_vs_baseline,119,-5.0,578,0,5
jax,random_vs_baseline,120,-5.0,601,0,5
jax,random_vs_baseline,121,-5.0,661,0,5
jax,random_vs_baseline,122,-5.0,617,0,5
jax,random_vs_baseline,123,-5.0,490,0,5
jax,random_vs_baseline,124,-5.0,615,0,5
jax,random_vs_baseline,125,-5.0,561,0,5
jax,random_vs_baseline,126,-5.0,530,0,5
jax,random_vs_baseline,127,-5.0,751,0,5
jax,random_vs_baseline,128,-5.0,618,0,5
jax,random_vs_baseline,129,-4.0,705,0,4
jax,random_vs_baseline,130,-5.0,517,0,5
jax,random_vs_baseline,131,-5.0,567,0,5
jax,random_vs_baseline,132,-5.0,506,0,5
jax,random_vs_baseline,133,-5.0,565,0,5
jax,random_vs_baseline,134,-5.0,563,0,5
jax,random_vs_baseline,135,-5.0,468,0,5
jax,random_vs_baseline,136,-5.0,684,0,5
jax,random_vs_baseline,137,-5.0,649,0,5
jax,random_vs_baseline,138,-5.0,651,0,5
jax,random_vs_baseline,139,-4.0,603,0,4
jax,random_vs_baseline,140,-5.0,863,0,5
jax,random_vs_baseline,141,-5.0,638,0,5
